Volume,Daily_Change,PercentageChange,Direction
251055000,-0.0249901800356582,-0.0534746225221153,Down
237858000,0.0469795580003946,0.1011641970209873,Up
530142000,-1.561291746127445,-3.408174010984565,Down
324176000,0.714675780274824,1.6324204681330456,Up
362666000,-0.3048619266388286,-0.6780044482329131,Down
322154000,0.3058609407008603,0.6783262517908297,Up
353843000,-0.1889134610152538,-0.4213746534789898,Down
586449000,-1.7192172203005145,-3.884892879757076,Down
492705000,0.2278972258178839,0.5407984859922587,Up
533085000,-0.8955934835133021,-2.146056190835909,Down
690286000,3.2655159830137137,8.069451874945477,Up
676512000,-0.6197215047312667,-1.3913885266477022,Down
527451000,-1.0335312703673625,-2.3225525294176026,Down
452395000,-0.6257153855486166,-1.4236966870695589,Down
583768000,0.6637001930450523,1.5574093842719554,Up
692573000,2.4718777752097623,5.558051875733843,Up
755293000,-2.4658796757753763,-5.125167009409585,Down
779046000,1.2494329487788889,2.7253302429401343,Up
1156044000,-3.0516163357429846,-6.0797383860296526,Down
925341000,-0.9935484326684332,-2.114352631801881,Down
685192000,0.3528404933368634,0.7594351634804145,Up
701397000,2.117039112461626,4.538636296011224,Up
735206000,0.2199014266033216,0.4485792889094174,Up
528570000,-0.024990184664773,-0.050630873507717,Down
463830000,-1.252433719553757,-2.517989913229857,Down
382653000,0.324853311202844,0.6739538515208383,Up
468670000,-1.379488633293981,-2.848828501089659,Down
433330000,0.7157337422649945,1.5727612943944012,Up
473069000,-0.3698653555176392,-0.8053692389703289,Down
473966000,-0.9696371115342544,-2.1019273446794955,Down
349256000,0.1319509509302818,0.2950511255395067,Up
398355000,0.884673552758585,1.9843097903781148,Up
370097000,-0.3688624588544584,-0.8030456476048297,Down
506831000,-1.4404629052956182,-3.1781347786796545,Down
500271000,1.2175460916037366,2.849252534237508,Up
373064000,-0.312883480522359,-0.714073241699838,Down
367108000,-1.3604947577892543,-3.121559882262344,Down
450736000,-0.5657917014382008,-1.3611376995347315,Down
479236000,0.0379879007743255,0.0914125263240081,Up
419091000,0.6307662077254292,1.5171564156135189,Up
402282000,-0.0899667303542486,-0.2142809784647355,Down
444935000,0.1379454302503759,0.3260020496449509,Up
424663000,0.6287680149871022,1.4813980946637872,Up
397830000,-0.3278773558031531,-0.7483950932131846,Down
433298000,0.7517234215046997,1.7079326298279371,Up
470850000,-1.290520869120229,-2.881182835428265,Down
361821000,0.2988887597197021,0.6835530666487124,Up
393483000,0.6377635259811285,1.4483552765750705,Up
434436000,1.5684177007284674,3.550336514765303,Up
409675000,0.4308397113091473,0.9611519667996552,Up
368582000,0.4878177564227357,1.0770226166667125,Up
378137000,0.6097740583778091,1.3204619915897615,Up
481325000,0.1679368668945642,0.3591492956873474,Up
474115000,-1.4984438325396925,-3.1920795965519027,Down
375099000,1.0316183656405895,2.290130487653642,Up
812333000,-0.0619772575316162,-0.1409097151322776,Down
627294000,-0.3948537979580848,-0.9274270654435048,Down
501233000,-0.7097354529175988,-1.6584500964879294,Down
477266000,-0.5028115593292597,-1.2007599889702525,Down
478530000,1.7453500827353352,4.234879280824684,Up
401463000,0.5857809486371579,1.3603513237292717,Up
398379000,-1.6183982757270456,-3.7305855698466783,Down
541001000,-1.5264334655099958,-3.64848494460154,Down
416784000,-0.6297671504823157,-1.531731222354917,Down
388028000,0.0739700248078349,0.1800995310337457,Up
517969000,0.3298754968342834,0.8158170831476775,Up
437593000,1.4404669343855758,3.5246109282066445,Up
409172000,0.177935305893726,0.4108230415537755,Up
424610000,0.9846348395327738,2.237620627234317,Up
400733000,0.4658265438483084,1.0290374403040143,Up
343165000,0.2359124339624472,0.5161968807243503,Up
346719000,0.4738268112574175,1.0282057566679847,Up
540496000,-0.5168062805931584,-1.0891741658830465,Down
421245000,0.8346889598238363,1.757892809416116,Up
384136000,0.2998878328032077,0.6208593521424973,Up
416954000,-0.0239931617870468,-0.0483133555714013,Down
475497000,-1.0466121718091017,-2.096727458126753,Down
339756000,0.8007013442181261,1.6454706828072203,Up
325205000,-0.2259140183309895,-0.4563402244219635,Down
